"Action","SourceRel","Status","BackupRel","Detail"
"Move to backup","data/generated/fix-art-toy-categories-cereal-mouse-action-and-more-v1-report-20260513-105653.csv","Moved","data/generated/fix-art-toy-categories-cereal-mouse-action-and-more-v1-report-20260513-105653.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toy-category-overlap-exceptions-v1-category-items-20260513-110224.csv","Moved","data/generated/fix-art-toy-category-overlap-exceptions-v1-category-items-20260513-110224.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toy-category-overlap-exceptions-v1-only-rules-20260513-110224.csv","Moved","data/generated/fix-art-toy-category-overlap-exceptions-v1-only-rules-20260513-110224.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toy-category-overlap-exceptions-v1-report-20260513-110224.csv","Moved","data/generated/fix-art-toy-category-overlap-exceptions-v1-report-20260513-110224.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toy-hero-images-and-green-star-skull-bulb-v1-category-items-20260513-110800.csv","Moved","data/generated/fix-art-toy-hero-images-and-green-star-skull-bulb-v1-category-items-20260513-110800.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toy-hero-images-and-green-star-skull-bulb-v1-report-20260513-110800.csv","Moved","data/generated/fix-art-toy-hero-images-and-green-star-skull-bulb-v1-report-20260513-110800.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-report-20260513-114127.csv","Moved","data/generated/fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-report-20260513-114127.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toys-category-labels-and-sunflower-only-v1-report-20260513-120046.csv","Moved","data/generated/fix-art-toys-category-labels-and-sunflower-only-v1-report-20260513-120046.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toys-category-labels-and-sunflower-only-v1-sunflower-only-items-20260513-120046.csv","Moved","data/generated/fix-art-toys-category-labels-and-sunflower-only-v1-sunflower-only-items-20260513-120046.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toys-index-cleanup-v4-report-20260513-085035.csv","Moved","data/generated/fix-art-toys-index-cleanup-v4-report-20260513-085035.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toys-index-cleanup-v4-skipped-20260513-085035.csv","Moved","data/generated/fix-art-toys-index-cleanup-v4-skipped-20260513-085035.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toys-index-exact-card-edits-v1-report-20260513-085613.csv","Moved","data/generated/fix-art-toys-index-exact-card-edits-v1-report-20260513-085613.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-art-toys-index-exact-card-edits-v1-skipped-20260513-085613.csv","Moved","data/generated/fix-art-toys-index-exact-card-edits-v1-skipped-20260513-085613.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-cereal-killers-specific-subcategories-v1-moved-items-20260513-115216.csv","Moved","data/generated/fix-cereal-killers-specific-subcategories-v1-moved-items-20260513-115216.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-cereal-killers-specific-subcategories-v1-report-20260513-115216.csv","Moved","data/generated/fix-cereal-killers-specific-subcategories-v1-report-20260513-115216.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-charlie-grin-sunflower-only-and-remove-mono-v1-report-20260513-114858.csv","Moved","data/generated/fix-charlie-grin-sunflower-only-and-remove-mono-v1-report-20260513-114858.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-charlie-grin-sunflower-only-and-remove-mono-v1-sunflower-only-items-20260513-114858.csv","Moved","data/generated/fix-charlie-grin-sunflower-only-and-remove-mono-v1-sunflower-only-items-20260513-114858.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-mc-misfiled-items-and-remove-mc-super-hero-v1-moved-items-20260513-121231.csv","Moved","data/generated/fix-mc-misfiled-items-and-remove-mc-super-hero-v1-moved-items-20260513-121231.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-mc-misfiled-items-and-remove-mc-super-hero-v1-report-20260513-121231.csv","Moved","data/generated/fix-mc-misfiled-items-and-remove-mc-super-hero-v1-report-20260513-121231.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-sculptures-index-broken-images-v1-report-20260513-110931.csv","Moved","data/generated/fix-sculptures-index-broken-images-v1-report-20260513-110931.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-sculptures-index-broken-images-v2-report-20260513-111140.csv","Moved","data/generated/fix-sculptures-index-broken-images-v2-report-20260513-111140.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-sculptures-index-wrong-duplicate-images-v3-candidates-20260513-113133.csv","Moved","data/generated/fix-sculptures-index-wrong-duplicate-images-v3-candidates-20260513-113133.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-sculptures-index-wrong-duplicate-images-v3-duplicate-images-20260513-113133.csv","Moved","data/generated/fix-sculptures-index-wrong-duplicate-images-v3-duplicate-images-20260513-113133.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-sculptures-index-wrong-duplicate-images-v3-report-20260513-113133.csv","Moved","data/generated/fix-sculptures-index-wrong-duplicate-images-v3-report-20260513-113133.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/fix-urban-bigfoot-jungle-gold-patina-card-only-v1-report-20260513-085909.csv","Moved","data/generated/fix-urban-bigfoot-jungle-gold-patina-card-only-v1-report-20260513-085909.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/missing-image-matches.csv","Moved","data/generated/missing-image-matches.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/move-mona-lisa-grin-pink-to-mona-grin-v1-report-20260513-122059.csv","Moved","data/generated/move-mona-lisa-grin-pink-to-mona-grin-v1-report-20260513-122059.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/organize-cereal-killers-subcategories-v1-exceptions-20260513-114707.csv","Moved","data/generated/organize-cereal-killers-subcategories-v1-exceptions-20260513-114707.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/organize-cereal-killers-subcategories-v1-report-20260513-114707.csv","Moved","data/generated/organize-cereal-killers-subcategories-v1-report-20260513-114707.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/organize-cereal-killers-subcategories-v1-subcategory-items-20260513-114707.csv","Moved","data/generated/organize-cereal-killers-subcategories-v1-subcategory-items-20260513-114707.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/organize-custom-toy-categories-and-move-rodent-grin-v1-custom-category-items-20260513-121611.csv","Moved","data/generated/organize-custom-toy-categories-and-move-rodent-grin-v1-custom-category-items-20260513-121611.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/organize-custom-toy-categories-and-move-rodent-grin-v1-report-20260513-121611.csv","Moved","data/generated/organize-custom-toy-categories-and-move-rodent-grin-v1-report-20260513-121611.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/organize-custom-toy-categories-and-move-rodent-grin-v1-rodent-grin-move-20260513-121611.csv","Moved","data/generated/organize-custom-toy-categories-and-move-rodent-grin-v1-rodent-grin-move-20260513-121611.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/organize-mc-subcategories-and-fix-exceptions-v1-exceptions-20260513-120942.csv","Moved","data/generated/organize-mc-subcategories-and-fix-exceptions-v1-exceptions-20260513-120942.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/organize-mc-subcategories-and-fix-exceptions-v1-report-20260513-120942.csv","Moved","data/generated/organize-mc-subcategories-and-fix-exceptions-v1-report-20260513-120942.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/organize-mc-subcategories-and-fix-exceptions-v1-subcategory-items-20260513-120942.csv","Moved","data/generated/organize-mc-subcategories-and-fix-exceptions-v1-subcategory-items-20260513-120942.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/remove-1-1-bart-grin-og-entry-v1-report-20260513-091844.csv","Moved","data/generated/remove-1-1-bart-grin-og-entry-v1-report-20260513-091844.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/remove-gold-iron-skin-and-atomic-orange-charlie-v1-report-20260513-100428.csv","Moved","data/generated/remove-gold-iron-skin-and-atomic-orange-charlie-v1-report-20260513-100428.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/remove-poobah-entry-v1-report-20260513-090459.csv","Moved","data/generated/remove-poobah-entry-v1-report-20260513-090459.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/remove-selected-custom-toy-pages-v1-report-20260513-110333.csv","Moved","data/generated/remove-selected-custom-toy-pages-v1-report-20260513-110333.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/remove-telegrinnie-pages-and-fix-smiley-piggy-image-v1-report-20260513-094918.csv","Moved","data/generated/remove-telegrinnie-pages-and-fix-smiley-piggy-image-v1-report-20260513-094918.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/remove-toy-index-search-and-intro-text-v1-report-20260513-091409.csv","Moved","data/generated/remove-toy-index-search-and-intro-text-v1-report-20260513-091409.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/remove-two-art-toy-entries-hop-hop-and-iron-skin-v1-report-20260513-092804.csv","Moved","data/generated/remove-two-art-toy-entries-hop-hop-and-iron-skin-v1-report-20260513-092804.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/repair-homepage-after-hero-image-v1-and-apply-v2-report-20260513-122423.csv","Moved","data/generated/repair-homepage-after-hero-image-v1-and-apply-v2-report-20260513-122423.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/restore-art-toys-index-from-v4-backup-report-20260513-085241.csv","Moved","data/generated/restore-art-toys-index-from-v4-backup-report-20260513-085241.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/targeted-toy-cleanup-skipped-20260513-084143.csv","Moved","data/generated/targeted-toy-cleanup-skipped-20260513-084143.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/targeted-toy-index-cleanup-report-20260513-084143.csv","Moved","data/generated/targeted-toy-index-cleanup-report-20260513-084143.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/targeted-toy-page-removal-report-20260513-084143.csv","Moved","data/generated/targeted-toy-page-removal-report-20260513-084143.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/toy-image-update-report-20260513-070107.csv","Moved","data/generated/toy-image-update-report-20260513-070107.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/toy-image-update-skipped-20260513-070107.csv","Moved","data/generated/toy-image-update-skipped-20260513-070107.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/toy-index-grouping-audit-group-summary-20260512-151025.csv","Moved","data/generated/toy-index-grouping-audit-group-summary-20260512-151025.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/toy-index-grouping-audit-needs-review-20260512-151025.csv","Moved","data/generated/toy-index-grouping-audit-needs-review-20260512-151025.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/toy-index-grouping-audit-review-20260512-151025.csv","Moved","data/generated/toy-index-grouping-audit-review-20260512-151025.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/toy-index-grouping-audit-skipped-pages-20260512-151025.csv","Moved","data/generated/toy-index-grouping-audit-skipped-pages-20260512-151025.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/toy-index-thumbnail-repair-report-20260513-071214.csv","Moved","data/generated/toy-index-thumbnail-repair-report-20260513-071214.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/toy-index-thumbnail-repair-skipped-20260513-071214.csv","Moved","data/generated/toy-index-thumbnail-repair-skipped-20260513-071214.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/toy-index-thumbnail-restore-report-20260513-071214.csv","Moved","data/generated/toy-index-thumbnail-restore-report-20260513-071214.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/toy-index-thumbnail-restore-report-20260513-074213.csv","Moved","data/generated/toy-index-thumbnail-restore-report-20260513-074213.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/toy-index-thumbnail-update-report-20260513-070558.csv","Moved","data/generated/toy-index-thumbnail-update-report-20260513-070558.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/toy-index-thumbnail-update-skipped-20260513-070558.csv","Moved","data/generated/toy-index-thumbnail-update-skipped-20260513-070558.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/toy-removal-review-from-notes-20260513-074932.csv","Moved","data/generated/toy-removal-review-from-notes-20260513-074932.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/toy-visible-name-index-update-report-20260513-074932.csv","Moved","data/generated/toy-visible-name-index-update-report-20260513-074932.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/toy-visible-name-item-page-update-report-20260513-074932.csv","Moved","data/generated/toy-visible-name-item-page-update-report-20260513-074932.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/toy-visible-name-update-skipped-20260513-074932.csv","Moved","data/generated/toy-visible-name-update-skipped-20260513-074932.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/trampt-site-build-summary.csv","Moved","data/generated/trampt-site-build-summary.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/update-art-toy-title-names-from-spreadsheet-v1-report-20260513-100719.csv","Moved","data/generated/update-art-toy-title-names-from-spreadsheet-v1-report-20260513-100719.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/update-art-toy-title-names-from-spreadsheet-v1-skipped-20260513-100719.csv","Moved","data/generated/update-art-toy-title-names-from-spreadsheet-v1-skipped-20260513-100719.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/update-homepage-section-hero-images-v1-report-20260513-122203.csv","Moved","data/generated/update-homepage-section-hero-images-v1-report-20260513-122203.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/source-spreadsheets/trampt_ron_english_individual_item_pages_merged.xlsx","Moved","data/source-spreadsheets/trampt_ron_english_individual_item_pages_merged.xlsx","Source spreadsheet / working document; not needed on live GitHub Pages site."
"Move to backup","review","Moved","review","Review/audit working folder; not public catalogue content."
"Move to backup","prints","Moved","prints","Prints section is not part of the public toys/sculptures site."
"Move to backup","items/action-jackson-and-bauhaus-barbie-giclee-print-233.html","Moved","items/action-jackson-and-bauhaus-barbie-giclee-print-233.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/all-american-temper-tot-print-193.html","Moved","items/all-american-temper-tot-print-193.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/american-depressed-print-842.html","Moved","items/american-depressed-print-842.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/camo-boy-lenticular-print-1047.html","Moved","items/camo-boy-lenticular-print-1047.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/little-bigfoot-screen-print-652.html","Moved","items/little-bigfoot-screen-print-652.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/money-print-1-860.html","Moved","items/money-print-1-860.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/money-print-2-32.html","Moved","items/money-print-2-32.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/super-size-me-movie-print-489.html","Moved","items/super-size-me-movie-print-489.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/temper-tot-print-a-373.html","Moved","items/temper-tot-print-a-373.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/temper-tot-print-b-786.html","Moved","items/temper-tot-print-b-786.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/temper-tot-print-c-1066.html","Moved","items/temper-tot-print-c-1066.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/temper-tot-print-d-734.html","Moved","items/temper-tot-print-d-734.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/temper-tot-print-e-364.html","Moved","items/temper-tot-print-e-364.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/temper-tot-print-f-85.html","Moved","items/temper-tot-print-f-85.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/temper-tot-print-g-1035.html","Moved","items/temper-tot-print-g-1035.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/temper-tot-print-h-688.html","Moved","items/temper-tot-print-h-688.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/temper-tot-print-i-1022.html","Moved","items/temper-tot-print-i-1022.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/temper-tot-print-j-858.html","Moved","items/temper-tot-print-j-858.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/temper-tot-print-k-866.html","Moved","items/temper-tot-print-k-866.html","Print item page; prints are not part of the public toys/sculptures site."
"Move to backup","items/temper-tot-print-l-828.html","Moved","items/temper-tot-print-l-828.html","Print item page; prints are not part of the public toys/sculptures site."
"Source image safety","images/Trampt","Not touched","","This script intentionally did not move or delete images/Trampt files."
