"Number","Status","OriginalSrc","NewSrc","ImageFile","ResolvedPath","Detail"
"1","OK","../images/Trampt/48 Atomic Orange Charlie Grin (+NFT) - DESIGNER TOY.jpeg","","","images/Trampt/48 Atomic Orange Charlie Grin (+NFT) - DESIGNER TOY.jpeg","Current path already works."
"2","OK","../images/Trampt/48 Black Charlie Grin - DESIGNER TOY.jpeg","","","images/Trampt/48 Black Charlie Grin - DESIGNER TOY.jpeg","Current path already works."
"3","OK","../images/Trampt/48 Electric Strawberry Charlie Grin (+NFT) - DESIGNER TOY.jpeg","","","images/Trampt/48 Electric Strawberry Charlie Grin (+NFT) - DESIGNER TOY.jpeg","Current path already works."
"4","OK","../images/Trampt/48 Green Telegrinnie - DESIGNER TOY.jpeg","","","images/Trampt/48 Green Telegrinnie - DESIGNER TOY.jpeg","Current path already works."
"5","OK","../images/Trampt/48 Lightning Zest Charlie Grin (+NFT) - DESIGNER TOY.jpeg","","","images/Trampt/48 Lightning Zest Charlie Grin (+NFT) - DESIGNER TOY.jpeg","Current path already works."
"6","OK","../images/Trampt/48%20Pink%20Temper%20Tot%20-%20Custom%20Toy%20-%20Trampt%20item%20967.jpg","","","images/Trampt/48 Pink Temper Tot - Custom Toy - Trampt item 967.jpg","Current path already works."
"7","OK","../images/Trampt/48 Yellow Charlie Grin - DESIGNER TOY.jpeg","","","images/Trampt/48 Yellow Charlie Grin - DESIGNER TOY.jpeg","Current path already works."
"8","OK","../images/Trampt/84%20Black%20Starskull%20Walkimg%20Stick%20-%20Custom%20Toy%20-%20Trampt%20item%20462.jpeg","","","images/Trampt/84 Black Starskull Walkimg Stick - Custom Toy - Trampt item 462.jpeg","Current path already works."
"9","OK","../images/Trampt/BIGFOOT CHILD TOURIST (NFS) - Original Art - Trampt item 921.jpg","","","images/Trampt/BIGFOOT CHILD TOURIST (NFS) - Original Art - Trampt item 921.jpg","Current path already works."
"10","OK","../images/Trampt/BIGFOOT FATHER TOURIST (NFS) - Original Art - Trampt item 169.jpg","","","images/Trampt/BIGFOOT FATHER TOURIST (NFS) - Original Art - Trampt item 169.jpg","Current path already works."
"11","OK","../images/Trampt/BIGFOOT MOTHER TOURIST (NFS) - Original Art - Trampt item 983.jpg","","","images/Trampt/BIGFOOT MOTHER TOURIST (NFS) - Original Art - Trampt item 983.jpg","Current path already works."
"12","Broken - not fixed","../images/Trampt/Cathy Cowgirl - Pink - Custom Toy - Trampt item 552.jpg","","Cathy Cowgirl - Pink - Custom Toy - Trampt item 552.jpg","","Could not find a file with this exact filename under the repo images folder."
"13","Broken - not fixed","../images/Trampt/Charlie Grin - Garageworks Edition - DESIGNER TOY.jpeg","","Charlie Grin - Garageworks Edition - DESIGNER TOY.jpeg","","Could not find a file with this exact filename under the repo images folder."
"14","Broken - not fixed","../images/Trampt/Charlie Grin - Zac Pac Edition (Red) - DESIGNER TOY.jpeg","","Charlie Grin - Zac Pac Edition (Red) - DESIGNER TOY.jpeg","","Could not find a file with this exact filename under the repo images folder."
"15","OK","../images/Trampt/Cheezy Grin Spongebob - DESIGNER TOY.jpeg","","","images/Trampt/Cheezy Grin Spongebob - DESIGNER TOY.jpeg","Current path already works."
"16","OK","../images/Trampt/EUROPEAN CAMO DOE - Original Art - Trampt item 197.jpg","","","images/Trampt/EUROPEAN CAMO DOE - Original Art - Trampt item 197.jpg","Current path already works."
"17","OK","../images/Trampt/EUROPEAN CAMO STAG - Original Art - Trampt item 517.jpg","","","images/Trampt/EUROPEAN CAMO STAG - Original Art - Trampt item 517.jpg","Current path already works."
"18","OK","../images/Trampt/FAT TONY (LIMITED EDITION OF 30) - Custom Toy - Trampt item 47.jpg","","","images/Trampt/FAT TONY (LIMITED EDITION OF 30) - Custom Toy - Trampt item 47.jpg","Current path already works."
"19","OK","../images/Trampt/Golden%20Little%20Bigfoot%20-%20Custom%20Toy%20-%20Trampt%20item%20263.jpg","","","images/Trampt/Golden Little Bigfoot - Custom Toy - Trampt item 263.jpg","Current path already works."
"20","OK","../images/Trampt/Green%20LITTLE%20BIGFOOT%20-%20Custom%20Toy%20-%20Trampt%20item%20213.jpg","","","images/Trampt/Green LITTLE BIGFOOT - Custom Toy - Trampt item 213.jpg","Current path already works."
"21","OK","../images/Trampt/Liberty%20Grin%20-%2048%20-%20Custom%20Toy%20-%20Trampt%20item%20942.jpg","","","images/Trampt/Liberty Grin - 48 - Custom Toy - Trampt item 942.jpg","Current path already works."
"22","OK","../images/Trampt/marilyn-mickeys-green.jpg","","","images/Trampt/marilyn-mickeys-green.jpg","Current path already works."
"23","OK","../images/Trampt/MC Supersized - Original 36 - Original Art - Trampt item 415.jpg","","","images/Trampt/MC Supersized - Original 36 - Original Art - Trampt item 415.jpg","Current path already works."
"24","OK","../images/Trampt/McSupersized 48.jpg","","","images/Trampt/McSupersized 48.jpg","Current path already works."
"25","Broken - not fixed","../images/Trampt/Mousemask Murphy in Airplane - Custom Toy - Trampt item 1073.jpg","","Mousemask Murphy in Airplane - Custom Toy - Trampt item 1073.jpg","","Could not find a file with this exact filename under the repo images folder."
"26","OK","../images/Trampt/couch.jpg","","","images/Trampt/couch.jpg","Current path already works."
"27","Broken - not fixed","../images/Trampt/Giant Scratch 1 - Custom Toy - Trampt item 1055.jpg","","Giant Scratch 1 - Custom Toy - Trampt item 1055.jpg","","Could not find a file with this exact filename under the repo images folder."
"28","Broken - not fixed","../images/Trampt/Giant Scratch 2 - Custom Toy - Trampt item 268.jpg","","Giant Scratch 2 - Custom Toy - Trampt item 268.jpg","","Could not find a file with this exact filename under the repo images folder."
"29","Broken - not fixed","../images/Trampt/Giant Ted 1 - Custom Toy - Trampt item 241.jpg","","Giant Ted 1 - Custom Toy - Trampt item 241.jpg","","Could not find a file with this exact filename under the repo images folder."
"30","Broken - not fixed","../images/Trampt/Giant Ted 2 - Custom Toy - Trampt item 530.jpg","","Giant Ted 2 - Custom Toy - Trampt item 530.jpg","","Could not find a file with this exact filename under the repo images folder."
"31","OK","../images/Trampt/Dudebox.jpg","","","images/Trampt/Dudebox.jpg","Current path already works."
"32","Broken - not fixed","../images/Trampt/Little Bigfoot - Silver - Custom Toy - Trampt item 209.jpg","","Little Bigfoot - Silver - Custom Toy - Trampt item 209.jpg","","Could not find a file with this exact filename under the repo images folder."
"33","OK","../images/Trampt/starskull-walking-stick-sculpture.jpg","","","images/Trampt/starskull-walking-stick-sculpture.jpg","Current path already works."
"34","Broken - not fixed","../images/Trampt/Telegrinnie - Gold - DESIGNER TOY.jpeg","","Telegrinnie - Gold - DESIGNER TOY.jpeg","","Could not find a file with this exact filename under the repo images folder."
"35","Broken - not fixed","../images/Trampt/Telegrinnie - Purple - DESIGNER TOY.jpeg","","Telegrinnie - Purple - DESIGNER TOY.jpeg","","Could not find a file with this exact filename under the repo images folder."
"36","Broken - not fixed","../images/Trampt/Telegrinnie - Red - DESIGNER TOY.jpeg","","Telegrinnie - Red - DESIGNER TOY.jpeg","","Could not find a file with this exact filename under the repo images folder."
"37","Broken - not fixed","../images/Trampt/Telegrinnie - Silver - DESIGNER TOY.jpeg","","Telegrinnie - Silver - DESIGNER TOY.jpeg","","Could not find a file with this exact filename under the repo images folder."
"38","Broken - not fixed","../images/Trampt/Telegrinnie - Yellow - DESIGNER TOY.jpeg","","Telegrinnie - Yellow - DESIGNER TOY.jpeg","","Could not find a file with this exact filename under the repo images folder."
"39","Broken - not fixed","../images/Trampt/Two Ton Sam - Custom Toy - Trampt item 413.jpg","","Two Ton Sam - Custom Toy - Trampt item 413.jpg","","Could not find a file with this exact filename under the repo images folder."
"40","OK","../images/Trampt/Urban Bigfoot - DESIGNER TOY.jpeg","","","images/Trampt/Urban Bigfoot - DESIGNER TOY.jpeg","Current path already works."
"999999","No file changes","sculptures/index.html","","","","No image src changes were made."
